Category,pslist.nproc,pslist.nppid,pslist.avg_threads,pslist.nprocs64bit,pslist.avg_handlers,dlllist.ndlls,dlllist.avg_dlls_per_proc,handles.nhandles,handles.avg_handles_per_proc,handles.nport,handles.nfile,handles.nevent,handles.ndesktop,handles.nkey,handles.nthread,handles.ndirectory,handles.nsemaphore,handles.ntimer,handles.nsection,handles.nmutant,ldrmodules.not_in_load,ldrmodules.not_in_init,ldrmodules.not_in_mem,ldrmodules.not_in_load_avg,ldrmodules.not_in_init_avg,ldrmodules.not_in_mem_avg,malfind.ninjections,malfind.commitCharge,malfind.protection,malfind.uniqueInjections,psxview.not_in_pslist,psxview.not_in_eprocess_pool,psxview.not_in_ethread_pool,psxview.not_in_pspcid_list,psxview.not_in_csrss_handles,psxview.not_in_session,psxview.not_in_deskthrd,psxview.not_in_pslist_false_avg,psxview.not_in_eprocess_pool_false_avg,psxview.not_in_ethread_pool_false_avg,psxview.not_in_pspcid_list_false_avg,psxview.not_in_csrss_handles_false_avg,psxview.not_in_session_false_avg,psxview.not_in_deskthrd_false_avg,modules.nmodules,svcscan.nservices,svcscan.kernel_drivers,svcscan.fs_drivers,svcscan.process_services,svcscan.shared_process_services,svcscan.interactive_process_services,svcscan.nactive,callbacks.ncallbacks,callbacks.nanonymous,callbacks.ngeneric,Class
Benign,41,12,12.9586779,0,294.149394,2028,49.47628643,12060,294.149394,0,1127,4328,45,804,1152,103,735,142,450,336,64,101,64,0.032538561,0.051264991,0.032538561,3,4,18,1.5,0,0,0,0,4,2,6,0.005622098,0.0,0.005622098,0.005622098,0.102634577,0.054128337,0.151140815,138,395,222,26,27,118,0,122,88,0,8,Benign
Benign,41,13,13.30087465,0,301.8811789,2141,52.2195122,12377,301.8811789,0,1072,4344,45,904,1178,103,766,143,404,403,82,120,82,0.038246269,0.055970149,0.038246269,5,6,30,1.25,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.097560976,0.048780488,0.146341463,138,395,222,26,27,118,0,123,88,0,8,Benign
Trojan-Refroso-51e344614c7cfddc34d43a8c1d2347c3-4.raw,43,18,9.697674419,0,204.0,1685,39.18604651,8772,204.0,0,653,3041,46,683,757,108,656,132,181,275,49,91,49,0.028307337,0.052570768,0.028307337,11,57,66,2.2,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.093023256,0.046511628,0.139534884,138,389,221,26,24,116,0,122,87,0,8,Malware
Trojan-Zeus-2d07fee749f41c472b1881d0b69c8ffc5867192dbbe1764ee2b1b7b3d4733d06-2.raw,39,15,10.66666667,0,216.9487179,1549,39.71794872,8461,216.9487179,0,636,2965,42,652,775,99,634,120,176,259,46,84,46,0.028858218,0.052697616,0.028858218,3,3,18,1.0,3,0,3,3,7,5,9,0.071428571,0.0,0.071428571,0.071428571,0.166666667,0.119047619,0.214285714,138,389,221,26,24,116,0,121,86,0,8,Malware
Benign,42,17,10.67900523,0,251.0986077,1808,42.92709603,10580,258.0556535,0,803,3720,47,893,864,103,723,133,339,326,73,112,73,0.039904078,0.061222694,0.039904078,4,5,24,1.333333333,9,0,11,9,15,11,17,0.1897374,0.0,0.211538462,0.1897374,0.288461538,0.228198939,0.326923077,138,392,222,26,24,118,0,126,87,0,8,Benign
Benign,43,17,11.09022594,0,267.2146989,2104,48.05699177,11702,267.2146989,0,915,3873,46,1080,953,106,825,140,345,433,93,136,93,0.043164129,0.062839803,0.043164129,11,76,66,1.849600618,1,0,1,1,5,3,6,0.02854053,0.0,0.02854053,0.02854053,0.117240812,0.072890672,0.141537703,138,392,222,26,24,118,0,123,87,0,8,Benign
Ransomware-Conti-01ad1e424c18c8881cc26e1506da10d3e7a9a9c17833e230be71e3c21bd6da6e-1.raw,39,15,11.35897436,0,221.2820513,1566,40.15384615,8630,221.2820513,0,643,3010,42,660,831,99,640,120,178,260,47,85,47,0.029156328,0.052729529,0.029156328,3,3,18,1.0,5,0,5,5,9,7,11,0.113636364,0.0,0.113636364,0.113636364,0.204545455,0.159090909,0.25,138,389,221,26,24,116,0,122,87,0,8,Malware
Spyware-TIBS-3b63fad1545031b6e3e133a2f900fb18873bbee514e0b3ce8417d33afe1bce31-9.raw,27,9,13.40740741,0,265.2962963,1212,44.88888889,7163,265.2962963,0,541,2590,30,556,633,71,518,107,134,216,30,56,30,0.024174053,0.045124899,0.024174053,2,2,12,1.0,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.148148148,0.074074074,0.185185185,138,389,221,26,24,116,0,120,88,0,8,Malware
Benign,41,13,13.00061375,0,293.6230253,2026,49.41463415,12038,293.6230253,0,1084,4425,45,776,1151,102,741,141,406,332,63,102,63,0.031786075,0.051463169,0.031786075,3,4,18,1.5,0,0,0,0,4,2,6,0.006027274,0.0,0.006027274,0.006027274,0.103000223,0.054513748,0.151486697,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,41,16,10.9629277,0,254.7894135,1821,44.41463415,10447,261.1841489,0,814,3604,45,886,863,101,721,131,320,351,83,121,83,0.045072684,0.065585538,0.045072684,4,5,24,1.333333333,10,0,11,10,15,12,17,0.196078431,0.0,0.215686275,0.196078431,0.294117647,0.235294118,0.333333333,138,392,222,26,24,118,0,126,87,0,8,Benign
Benign,41,12,13.52607826,0,307.764354,2149,52.41463415,12618,307.764354,0,1090,4432,45,930,1227,103,775,143,416,410,87,125,87,0.040352505,0.057977737,0.040352505,6,7,36,1.2,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.097560976,0.048780488,0.146341463,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,41,12,12.79564311,0,289.4380862,2021,49.30783823,11866,289.4380862,0,1051,4285,45,790,1116,103,732,140,415,355,67,105,67,0.033604867,0.052489273,0.033604867,4,5,24,1.333333333,1,0,1,1,5,3,7,0.037915872,0.0,0.037915872,0.037915872,0.131777738,0.084846805,0.178708671,138,395,222,26,27,118,0,123,88,0,8,Benign
Ransomware-Shade-08b7fbb9b276f71fac0e04ff289617a27a14185590eed97acc2df962d95f3248-5.raw,40,16,9.825,0,209.225,1564,39.1,8369,209.225,0,646,2925,43,670,703,101,608,123,178,262,45,84,45,0.028107433,0.052467208,0.028107433,3,3,18,1.0,3,0,3,3,7,5,9,0.069767442,0.0,0.069767442,0.069767442,0.162790698,0.11627907,0.209302326,138,389,221,26,24,116,0,123,86,0,8,Malware
Benign,40,12,13.15431309,0,297.5702817,2011,49.74642999,12031,297.5702817,0,1123,4314,44,798,1162,101,736,139,457,335,62,98,62,0.031753038,0.050375243,0.031753038,3,4,18,1.5,1,0,1,1,5,3,7,0.026720882,0.0,0.026720882,0.026720882,0.1229784,0.074849641,0.171107158,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,40,12,12.86501029,0,292.5230021,1985,49.625,11700,292.5230021,0,1108,4133,44,803,1095,101,729,141,435,333,64,100,64,0.033126294,0.051759834,0.033126294,3,4,18,1.5,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.1,0.05,0.15,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,40,12,12.84039659,0,292.275,1985,49.625,11691,292.275,0,1107,4111,44,803,1104,101,729,141,439,333,64,100,64,0.033126294,0.051759834,0.033126294,3,4,18,1.5,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.1,0.05,0.15,138,395,222,26,27,118,0,122,88,0,8,Benign
Benign,42,12,12.98455793,0,298.2016592,2092,49.81994541,12524,298.2016592,0,1114,4682,46,784,1197,107,745,140,439,354,66,106,66,0.032610881,0.052100593,0.032610881,3,4,18,1.5,1,0,1,1,5,3,7,0.024816087,0.0,0.024816087,0.024816087,0.117690745,0.071253416,0.164128075,138,395,222,26,27,118,0,124,88,0,8,Benign
Benign,41,12,13.20171151,0,300.8088141,2047,49.92682927,12333,300.8088141,0,1103,4624,45,774,1183,102,741,137,425,334,66,105,66,0.032901296,0.052342971,0.032901296,3,4,18,1.5,3,0,3,3,7,5,9,0.068181818,0.0,0.068181818,0.068181818,0.159090909,0.113636364,0.204545455,138,395,222,26,27,118,0,124,88,0,8,Benign
Benign,42,12,12.9695078,0,297.2915566,2140,50.95238095,12487,304.5669604,0,1077,4398,45,917,1189,104,774,144,430,385,73,110,73,0.034695817,0.052281369,0.034695817,4,5,24,1.333333333,0,0,1,0,5,2,7,0.0,0.0,0.023809524,0.0,0.119047619,0.047619048,0.166666667,138,395,222,26,27,118,0,125,88,0,8,Benign
Trojan-Zeus-1eb789108ab81f694c97dd413a55ce020902cde40c6bdc17db536717ca13eb9e-9.raw,37,15,10.21621622,0,215.7297297,1448,39.13513514,7982,215.7297297,0,628,2824,40,669,669,92,596,113,162,230,43,79,43,0.029391661,0.053998633,0.029391661,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.108108108,0.054054054,0.162162162,138,389,221,26,24,116,0,120,86,0,8,Malware
Ransomware-Shade-97b9c62c8be586fc1db60b3b9fb582ac4ee6a54b524431434e3b7360fec707c4-1.raw,39,15,11.43589744,0,220.5384615,1562,40.05128205,8601,220.5384615,0,639,3003,42,654,833,99,640,120,176,259,46,84,46,0.028624767,0.052271313,0.028624767,3,3,18,1.0,6,0,6,6,10,8,12,0.133333333,0.0,0.133333333,0.133333333,0.222222222,0.177777778,0.266666667,138,389,221,26,24,116,0,122,86,0,8,Malware
Benign,40,12,13.50065792,0,303.200407,2027,51.56055008,12175,309.7460999,0,1150,4250,43,881,1166,99,746,138,397,405,70,107,70,0.035106497,0.05321816,0.035106497,4,5,24,1.333333333,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.099606775,0.049803388,0.166447358,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,41,12,13.07901189,0,301.1151365,2047,49.92682927,12345,301.1151365,0,1104,4646,45,774,1173,102,741,137,425,334,66,105,66,0.032901296,0.052342971,0.032901296,3,4,18,1.5,2,0,2,2,6,4,8,0.047376586,0.0,0.047376586,0.047376586,0.140315455,0.09384602,0.18678489,138,395,222,26,27,118,0,124,88,0,8,Benign
Benign,42,12,13.33975459,0,306.1556997,2194,52.25321063,12858,306.1556997,0,1147,4596,46,877,1239,105,780,142,437,403,79,119,79,0.036462076,0.054923887,0.036462076,5,6,30,1.25,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.095238095,0.047619048,0.142857143,138,395,222,26,27,118,0,125,88,0,8,Benign
Benign,43,14,12.69339807,0,286.079666,2104,48.93023256,12301,286.079666,0,1132,4368,47,820,1184,107,748,149,471,343,65,104,65,0.031676413,0.050682261,0.031676413,3,4,18,1.5,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.093023256,0.046511628,0.139534884,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,42,12,13.2257239,0,305.658028,2203,52.45238095,12837,305.658028,0,1107,4543,46,943,1229,109,772,146,420,445,89,128,89,0.0402169,0.057840036,0.0402169,6,7,36,1.2,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.095238095,0.047619048,0.142857143,138,395,222,26,27,118,0,123,88,0,8,Benign
Ransomware-Ako-0a7af044e8be8976327359ed0c6785356503cebd0deada0466e7dab8496cee8a-10.raw,42,16,9.571428571,0,208.8333333,1610,38.33333333,8772,213.9512195,0,866,2928,44,751,723,101,664,122,184,256,50,90,50,0.030693677,0.055248619,0.030693677,63,18506,378,10.5,0,0,1,0,5,2,7,0.0,0.0,0.023809524,0.0,0.119047619,0.047619048,0.166666667,138,389,221,26,24,116,0,120,87,0,8,Malware
Trojan-Emotet-1fc21527503948644bc5ba77d5b4119425023874c7c771a721de10116cb6972c-6.raw,35,15,11.88571429,0,194.2285714,1343,38.37142857,6798,194.2285714,0,596,2122,36,522,714,91,461,98,127,215,41,75,41,0.029645698,0.054229935,0.029645698,38,4280,228,2.714285714,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.114285714,0.057142857,0.142857143,137,378,219,26,21,110,0,112,88,0,8,Malware
Spyware-180solutions-0c74365a50c1bf0e052ea72f2d7321fc00f8d4e09ac87ff4800c57d96323958d-10.raw,37,15,10.05405405,0,214.5945946,1445,39.05405405,7940,214.5945946,0,626,2808,40,668,658,92,594,113,162,230,42,78,42,0.028846154,0.053571429,0.028846154,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.108108108,0.054054054,0.162162162,138,389,221,26,24,116,0,119,87,0,8,Malware
Spyware-CWS-0b1c77ba7e5e148966b602c16327fb0dda2959637ad8ff6b6178001d3f10c280-10.raw,38,15,10.18421053,0,213.6578947,1480,38.94736842,8120,219.4594595,0,843,2705,39,623,692,93,626,113,147,245,43,79,43,0.028628495,0.052596538,0.028628495,60,18558,360,15.0,0,0,1,0,5,2,7,0.0,0.0,0.026315789,0.0,0.131578947,0.052631579,0.184210526,138,389,221,26,24,116,0,119,86,0,8,Malware
Benign,51,19,10.95566509,0,245.3203066,2233,44.11404006,12668,245.3203066,0,972,4449,56,1033,1162,120,800,153,408,378,82,130,82,0.037114778,0.058661274,0.037114778,5,6,33,1.21753654,6,0,6,6,10,8,14,0.109028941,0.0,0.115646503,0.109028941,0.184691781,0.14355158,0.247119498,138,392,222,26,24,118,0,127,87,0,8,Benign
Trojan-Reconyc-d523b270795f30570e069e4cff6f8bf9-2.raw,45,18,9.844444444,0,204.0,1747,38.82222222,9180,204.0,0,674,3157,48,738,822,111,678,132,202,281,51,95,51,0.028380634,0.052865888,0.028380634,5,5,30,1.0,6,0,6,6,10,8,12,0.117647059,0.0,0.117647059,0.117647059,0.196078431,0.156862745,0.235294118,138,389,221,26,24,116,0,122,86,0,8,Malware
Spyware-CWS-0b2faa3980ffa7ca52d78015a5eceabcecafddfd4782a6d73bd63db61de46467-10.raw,35,14,10.2,0,214.0285714,1378,39.37142857,7491,214.0285714,0,616,2621,37,597,622,89,578,107,137,226,42,76,42,0.03,0.054285714,0.03,2,2,12,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.114285714,0.057142857,0.171428571,138,389,221,26,24,116,0,118,86,0,8,Malware
Ransomware-Maze-0d5e067db1de10247943c2431f12c7a9e0fb2f62ad200758c3dfd32749d9f24d-8.raw,37,15,10.0,0,214.0810811,1444,39.02702703,7921,214.0810811,0,621,2801,40,664,657,92,594,113,160,230,42,78,42,0.028806584,0.053497942,0.028806584,3,3,18,1.0,2,0,2,2,6,4,8,0.051282051,0.0,0.051282051,0.051282051,0.153846154,0.102564103,0.205128205,138,389,221,26,24,116,0,118,87,0,8,Malware
Ransomware-Pysa-714db3ab8f3cb204ae21ab6450e70a81bdd03c409a0900a43a60632d367db2ea-3.raw,41,16,10.17073171,0,211.1463415,1622,39.56097561,8657,211.1463415,0,649,3020,44,675,764,103,645,126,181,267,46,86,46,0.027594481,0.051589682,0.027594481,3,3,18,1.0,3,0,3,3,7,5,9,0.068181818,0.0,0.068181818,0.068181818,0.159090909,0.113636364,0.204545455,138,389,221,26,24,116,0,123,87,0,8,Malware
Spyware-Transponder-0bb1b2b8a89df3766be942583dcf95db1e4297ef64691625b862d513b6f07bd4-6.raw,47,19,11.23404255,0,250.0212766,2050,43.61702128,11751,250.0212766,0,1113,3910,51,1052,985,109,778,148,337,356,67,114,67,0.031663516,0.053875236,0.031663516,67,18543,402,9.571428571,2,0,2,2,6,4,7,0.040816327,0.0,0.040816327,0.040816327,0.12244898,0.081632653,0.142857143,138,392,222,26,24,118,0,124,88,0,8,Malware
Benign,50,17,11.97752676,0,272.3214635,2356,47.12,13616,272.3214635,0,1194,4738,56,1024,1280,125,810,150,529,439,93,141,93,0.038782319,0.058798999,0.038782319,5,6,30,1.25,3,0,3,3,7,5,9,0.056603774,0.0,0.056603774,0.056603774,0.132075472,0.094339623,0.169811321,138,392,222,26,24,118,0,126,87,0,8,Benign
Benign,42,17,10.85252278,0,252.5625451,1801,42.88912669,10608,258.7469974,0,812,3730,47,890,879,103,717,133,342,332,73,112,73,0.040058742,0.061459987,0.040058742,4,5,24,1.333333333,8,0,9,8,13,10,15,0.168443407,0.0,0.188242373,0.168443407,0.26743824,0.20804134,0.307036173,138,392,222,26,24,118,0,126,87,0,8,Benign
Trojan-Emotet-1f6192b7ddc0154d8461965e2a9b3ff16f6a04abcc4dd36f67638064bcc9ec2b-10.raw,35,14,10.28571429,0,214.9142857,1384,39.54285714,7522,214.9142857,0,627,2624,37,599,629,88,572,107,138,223,43,77,43,0.030561478,0.054726368,0.030561478,2,2,12,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.114285714,0.057142857,0.171428571,138,389,221,26,24,116,0,120,87,0,8,Malware
Spyware-Transponder-0b56cb94f25a0f043ebdb16c732d575aa17eae409bc44920df2aeee0d1df20b6-7.raw,38,15,10.02631579,0,212.8157895,1483,39.02631579,8087,212.8157895,0,633,2846,41,654,681,98,592,116,175,249,44,81,44,0.029313791,0.053964024,0.029313791,3,3,18,1.0,7,0,7,7,11,9,13,0.155555556,0.0,0.155555556,0.155555556,0.244444444,0.2,0.288888889,138,389,221,26,24,116,0,119,86,0,8,Malware
Benign,58,22,11.2881882,0,267.2139576,2835,48.63079341,15670,267.2139576,0,1275,5297,64,1321,1430,134,955,174,574,519,113,168,113,0.039740931,0.059227055,0.039740931,14,64,86,1.675011916,4,0,4,4,8,6,12,0.064433575,0.0,0.064433575,0.064433575,0.128278698,0.096356136,0.19212382,138,392,222,26,24,118,0,126,87,0,8,Benign
Spyware-Transponder-0dad9cb5a0da5593b5bd6ad8ac8c940bfa0960ce903b7740cbed941acba5d917-2.raw,41,16,10.70731707,0,213.4390244,1618,39.46341463,8751,213.4390244,0,650,3062,44,674,813,103,643,126,183,268,48,88,48,0.028828829,0.052852853,0.028828829,3,3,18,1.0,1,0,1,1,5,3,7,0.023809524,0.0,0.023809524,0.023809524,0.119047619,0.071428571,0.166666667,138,389,221,26,24,116,0,122,87,0,8,Malware
Benign,41,12,14.07296964,0,312.0475739,2148,52.3902439,12793,312.0475739,0,1123,4475,45,930,1268,103,778,143,437,439,87,125,87,0.04037123,0.05800464,0.04037123,6,7,36,1.2,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.097560976,0.048780488,0.146341463,138,395,222,26,27,118,0,123,88,0,8,Benign
Ransomware-Maze-026acd8126724c0b23a8f230de5a827bb54f0a9ab7b1fde9b093bed8617e3272-10.raw,40,15,9.975,0,214.075,1549,38.725,8564,219.5897436,0,851,2894,42,693,718,97,652,119,172,252,44,82,44,0.028150992,0.052463212,0.028150992,62,18505,372,12.4,2,0,3,2,7,4,9,0.047619048,0.0,0.071428571,0.047619048,0.166666667,0.095238095,0.214285714,138,389,221,26,24,116,0,119,86,0,8,Malware
Trojan-Zeus-1d4f5aacce78699c6c25a6a1563d8b2024c5d84952058cead1f9234d4f39534b-7.raw,41,16,9.487804878,0,203.8292683,1552,37.85365854,8357,203.8292683,0,659,2910,44,708,713,104,608,116,177,254,48,88,48,0.03043754,0.055802156,0.03043754,4,4,24,1.0,2,0,2,2,6,4,8,0.046511628,0.0,0.046511628,0.046511628,0.139534884,0.093023256,0.186046512,138,389,221,26,24,116,0,119,87,0,8,Malware
Trojan-Zeus-3c87b629b718c4f6f0851c2bae3e43c50a061132a11723d8cc444361fa747107-9.raw,40,16,10.2,0,210.3,1541,38.525,8413,215.7179487,0,641,2913,42,702,750,97,638,119,171,254,44,82,44,0.028405423,0.052937379,0.028405423,8,111075,48,1.6,0,0,1,0,5,2,7,0.0,0.0,0.025,0.0,0.125,0.05,0.175,138,389,221,26,24,116,0,119,87,0,8,Malware
Spyware-180solutions-0f3f46bebdfc260bbf76568e3e697f6707bdc386e65307148e1bd2a15f3426af-3.raw,44,17,10.09090909,0,210.5909091,1718,39.04545455,9267,215.5116279,0,868,3099,46,699,824,108,701,132,192,289,48,90,48,0.027210884,0.051020408,0.027210884,62,18505,372,12.4,0,0,1,0,5,2,7,0.0,0.0,0.022727273,0.0,0.113636364,0.045454545,0.159090909,138,389,221,26,24,116,0,122,87,0,8,Malware
Trojan-Scar-4ab9bcbec67cafda3a1e4bf6d2d60de9-9.raw,38,15,10.21052632,0,215.6315789,1503,39.55263158,8194,215.6315789,0,646,2873,41,683,689,98,600,116,178,253,46,83,46,0.030283081,0.054641211,0.030283081,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.105263158,0.052631579,0.157894737,138,389,221,26,24,116,0,120,86,0,8,Malware
Ransomware-Conti-0de4978a042a8c960450f32548ecc15ff8190ec1998eed9b3fcf1683f05d1060-9.raw,40,16,9.6,0,203.3,1500,37.5,8132,203.3,0,648,2867,43,690,675,98,604,113,162,232,45,84,45,0.029722589,0.055482166,0.029722589,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.1,0.05,0.15,138,389,221,26,24,116,0,119,86,0,8,Malware
Trojan-Emotet-02b65d9d8fa3d686f679868feb0bf64450d60805a0e5fd28dcc9a3a97795f775-9.raw,37,15,10.24324324,0,215.8378378,1452,39.24324324,7986,215.8378378,0,635,2821,40,668,668,92,596,113,162,230,43,79,43,0.029351536,0.053924915,0.029351536,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.108108108,0.054054054,0.162162162,138,389,221,26,24,116,0,120,87,0,8,Malware
Ransomware-Conti-0df5c87cb77a8ae11098fddd9b52f70c29645a394d1ba6971f9dcd33770ac0bf-9.raw,37,15,10.24324324,0,216.2702703,1453,39.27027027,8002,216.2702703,0,635,2829,40,668,674,92,596,113,162,230,43,79,43,0.029331514,0.053888131,0.029331514,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.108108108,0.054054054,0.162162162,138,389,221,26,24,116,0,120,86,0,8,Malware
Benign,43,13,12.77950289,0,299.7106017,2182,50.74418605,12887,299.7106017,0,1139,4642,47,869,1205,107,841,144,441,388,70,111,70,0.032634033,0.051748252,0.032634033,5,6,30,1.25,1,0,1,1,5,3,7,0.022727273,0.0,0.022727273,0.022727273,0.113636364,0.068181818,0.159090909,138,395,222,26,27,118,0,124,88,0,8,Benign
Benign,63,19,11.02877329,0,258.6477231,3008,47.15109485,16503,261.9670181,0,1463,5957,68,1176,1533,144,918,156,658,514,118,179,118,0.038806825,0.058731801,0.038806825,11,60,66,1.833333333,0,0,1,0,5,2,7,0.012417732,0.0,0.024835465,0.012417732,0.086750674,0.043375337,0.117708278,138,392,222,26,24,118,0,126,87,0,8,Benign
Benign,45,12,11.38929001,0,260.1664662,1986,44.20685464,11654,298.8365239,0,1076,4121,44,805,1098,99,734,138,422,333,8,34,8,0.028880866,0.122743682,0.028880866,3,4,18,1.5,14,0,19,14,23,16,25,0.247433191,0.0,0.331112883,0.247433191,0.398001595,0.280877547,0.431445951,138,395,222,26,27,118,0,124,88,0,8,Benign
Benign,42,12,12.80983899,0,285.2399863,2106,50.14285714,11980,285.2399863,0,1068,4178,46,816,1154,104,748,145,409,393,79,118,79,0.037476281,0.05597723,0.037476281,5,6,30,1.25,2,0,2,2,6,4,8,0.045454545,0.0,0.045454545,0.045454545,0.136363636,0.090909091,0.181818182,138,395,222,26,27,118,0,124,88,0,8,Benign
Spyware-Gator-1f66abbafa79a853ce9c6c24e14b41ad8b2610fd211364b675ae8828c2a60e91-2.raw,39,15,10.71794872,0,217.1282051,1549,39.71794872,8468,217.1282051,0,638,2966,42,652,779,99,634,120,176,259,47,85,47,0.029467085,0.053291536,0.029467085,3,3,18,1.0,5,0,5,5,9,7,11,0.113636364,0.0,0.113636364,0.113636364,0.204545455,0.159090909,0.25,138,389,221,26,24,116,0,121,86,0,8,Malware
Trojan-Zeus-2a94a3c82ba4a8c4241eb7cc8a3677b08d70cb84f387649f5148738bcff32883-5.raw,40,16,9.8,0,208.15,1559,38.975,8326,208.15,0,637,2921,43,662,703,101,608,123,177,262,45,84,45,0.028230866,0.052697616,0.028230866,3,3,18,1.0,4,0,4,4,8,6,10,0.090909091,0.0,0.090909091,0.090909091,0.181818182,0.136363636,0.227272727,138,389,221,26,24,116,0,121,86,0,8,Malware
Benign,41,14,14.92649362,0,283.4766183,1925,46.89278413,11644,291.1094038,0,1038,3983,45,783,1292,100,640,137,367,337,48,86,48,0.025120856,0.044676606,0.025120856,5,6,30,1.25,0,0,1,0,5,2,6,0.0,0.0,0.025915578,0.0,0.12332402,0.048704221,0.147676131,137,395,222,26,27,118,0,120,88,0,8,Benign
Benign,43,14,12.72609574,0,286.1395349,2104,48.93023256,12304,286.1395349,0,1133,4367,47,820,1188,107,748,149,469,343,65,104,65,0.031676413,0.050682261,0.031676413,3,4,18,1.5,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.093023256,0.046511628,0.139534884,138,395,222,26,27,118,0,123,88,0,8,Benign
Spyware-Transponder-0bdcb371899f7bfb57627ece0b733c778268dfc2687755ad2a88a44ccc55e3f5-3.raw,44,17,9.840909091,0,204.2954545,1706,38.77272727,8989,204.2954545,0,670,3112,47,715,796,109,664,129,185,276,49,92,49,0.027936146,0.052451539,0.027936146,3,3,18,1.0,1,0,1,1,5,3,7,0.022222222,0.0,0.022222222,0.022222222,0.111111111,0.066666667,0.155555556,138,389,221,26,24,116,0,122,87,0,8,Malware
Benign,41,13,13.29268293,0,294.7317073,2027,49.43902439,12084,294.7317073,0,1093,4428,45,776,1172,102,741,141,406,338,63,102,63,0.031770045,0.051437216,0.031770045,3,4,18,1.5,1,0,1,1,5,3,7,0.023809524,0.0,0.023809524,0.023809524,0.119047619,0.071428571,0.166666667,138,395,222,26,27,118,0,123,88,0,8,Benign
Spyware-CWS-0c51a484089ecc2c3ae28fecd21769ac6391f90fc4a8bfbfdedb77ed34d02ef5-6.raw,39,15,10.0,0,210.3076923,1518,38.92307692,8202,210.3076923,0,638,2879,42,658,697,100,598,119,177,256,44,82,44,0.028405423,0.052937379,0.028405423,3,3,18,1.0,6,0,6,6,10,8,12,0.133333333,0.0,0.133333333,0.133333333,0.222222222,0.177777778,0.266666667,138,389,221,26,24,116,0,121,87,0,8,Malware
Benign,42,16,11.23184638,0,280.8321184,2067,49.21428571,11794,280.8321184,0,907,3829,45,1252,930,103,825,135,375,429,102,143,102,0.047819972,0.067041725,0.047819972,12,77,72,2.0,4,0,4,4,8,6,10,0.086956522,0.0,0.086956522,0.086956522,0.173913043,0.130434783,0.217391304,138,392,222,26,24,118,0,124,87,0,8,Benign
Benign,41,13,13.2413554,0,294.7381233,2026,49.43260845,12084,294.7381233,0,1092,4431,45,776,1170,102,741,141,406,336,63,102,63,0.031774262,0.051444043,0.031774262,3,4,18,1.5,0,0,0,0,4,2,6,0.017546344,0.0,0.017546344,0.017546344,0.113395481,0.065470912,0.161320049,138,395,222,26,27,118,0,123,88,0,8,Benign
Benign,38,12,14.43435435,0,289.7999222,1905,49.48057942,11158,289.7999222,0,980,3891,42,768,1166,97,679,134,348,320,59,96,59,0.031249753,0.050378811,0.031249753,4,5,24,1.333333333,0,0,0,0,4,2,5,0.0,0.0,0.0,0.0,0.103884117,0.051942058,0.142956034,137,395,222,26,27,118,0,122,88,0,8,Benign
Trojan-Scar-b6911c07159e4462fcc36c683cb71bdb-2.raw,44,17,10.06818182,0,206.7954545,1716,39.0,9099,206.7954545,0,675,3150,47,712,824,109,688,129,186,279,50,93,50,0.028328612,0.052691218,0.028328612,3,3,18,1.0,0,0,0,0,4,2,6,0.0,0.0,0.0,0.0,0.090909091,0.045454545,0.136363636,138,389,221,26,24,116,0,122,87,0,8,Malware
